Date,Open,High,Low,Close,Voulume
2017. 1. 27 오후 4:00:00,5664.88,5667.45,5643.9,5660.78,
2017. 1. 30 오후 4:00:00,5635.86,5636.09,5578.76,5613.71,
2017. 1. 31 오후 4:00:00,5592.87,5615.15,5576.09,5614.79,
2017. 2. 1 오후 4:00:00,5654.51,5662.11,5621.03,5642.65,
2017. 2. 2 오후 4:00:00,5627.15,5656.01,5616.4,5636.2,
2017. 2. 3 오후 4:00:00,5650.73,5666.84,5647.58,5666.77,
2017. 2. 6 오후 4:00:00,5656.95,5668.2,5650.26,5663.55,
2017. 2. 7 오후 4:00:00,5674.86,5689.6,5664.82,5674.22,
2017. 2. 8 오후 4:00:00,5662.95,5686.96,5649.39,5682.45,
2017. 2. 9 오후 4:00:00,5688.02,5722.71,5685.15,5715.18,
2017. 2. 10 오후 4:00:00,5726.17,5743.43,5717.42,5734.13,
2017. 2. 13 오후 4:00:00,5753.19,5770.99,5751.92,5763.96,
2017. 2. 14 오후 4:00:00,5756.51,5783.09,5748.74,5782.57,
2017. 2. 15 오후 4:00:00,5777.9,5821.95,5776.7,5819.44,
2017. 2. 16 오후 4:00:00,5823.01,5835.15,5796.71,5814.9,
2017. 2. 17 오후 4:00:00,5807.31,5838.58,5800.8,5838.58,
2017. 2. 21 오후 4:00:00,5850.2,5867.89,5847.5,5865.95,
2017. 2. 22 오후 4:00:00,5857.56,5864.41,5848.28,5860.63,
2017. 2. 23 오후 4:00:00,5866.82,5866.96,5809.55,5835.51,
2017. 2. 24 오후 4:00:00,5802.33,5845.31,5800.55,5845.31,
2017. 2. 27 오후 4:00:00,5835.04,5861.9,5827,5861.9,
2017. 2. 28 오후 4:00:00,5852.79,5855.07,5817.22,5825.44,
2017. 3. 1 오후 4:00:00,5874.86,5911.79,5865.79,5904.03,
2017. 3. 2 오후 4:00:00,5897.01,5897.01,5856.3,5861.22,
2017. 3. 3 오후 4:00:00,5854.27,5870.75,5841.47,5870.75,
2017. 3. 6 오후 4:00:00,5846.42,5857.74,5827.46,5849.17,
2017. 3. 7 오후 4:00:00,5836.12,5859.77,5826.32,5833.93,
2017. 3. 8 오후 4:00:00,5838.44,5860.63,5832.63,5837.55,
2017. 3. 9 오후 4:00:00,5834.67,5852.54,5812.08,5838.81,
2017. 3. 10 오후 4:00:00,5867.16,5872.6,5835.44,5861.73,
2017. 3. 13 오후 4:00:00,5863.48,5877.43,5860.83,5875.78,
2017. 3. 14 오후 4:00:00,5860.07,5860.5,5831.88,5856.82,
2017. 3. 15 오후 4:00:00,5869.97,5911.2,5858.16,5900.05,
2017. 3. 16 오후 4:00:00,5907.86,5911.48,5887.24,5900.76,
2017. 3. 17 오후 4:00:00,5898.58,5912.61,5890.42,5901,
2017. 3. 20 오후 4:00:00,5898.81,5915.12,5888.12,5901.53,
2017. 3. 21 오후 4:00:00,5923.42,5928.06,5790.73,5793.83,
2017. 3. 22 오후 4:00:00,5790.59,5825.67,5781.8,5821.64,
2017. 3. 23 오후 4:00:00,5812.31,5842.82,5806.98,5817.69,
2017. 3. 24 오후 4:00:00,5839.33,5858.95,5807.83,5828.74,
2017. 3. 27 오후 4:00:00,5775.75,5849.2,5769.39,5840.37,
2017. 3. 28 오후 4:00:00,5836.5,5888.7,5828.86,5875.14,
2017. 3. 29 오후 4:00:00,5875.35,5900.87,5870.93,5897.55,
2017. 3. 30 오후 4:00:00,5896.15,5916.77,5894,5914.34,
2017. 3. 31 오후 4:00:00,5905.63,5927.81,5901.77,5911.74,
2017. 4. 3 오후 4:00:00,5917.32,5928.93,5867.73,5894.68,
2017. 4. 4 오후 4:00:00,5878.76,5901.39,5878.76,5898.61,
2017. 4. 5 오후 4:00:00,5911.92,5936.39,5856.26,5864.48,
2017. 4. 6 오후 4:00:00,5870.52,5889.58,5856.22,5878.95,
2017. 4. 7 오후 4:00:00,5873.94,5892.07,5855.51,5877.81,
2017. 4. 10 오후 4:00:00,5883.43,5907.85,5865.56,5880.93,
2017. 4. 11 오후 4:00:00,5871.16,5878.94,5819.29,5866.77,
2017. 4. 12 오후 4:00:00,5863.59,5868.09,5830.44,5836.16,
